Time,asks,bids,price
2019-06-02 22:00:00 UTC,19147272.67,9560364.377,8717.679583
2019-06-02 23:00:00 UTC,19827275.9,9748701.786,8744.2325
2019-06-03 00:00:00 UTC,19249542.52,10754329.15,8693.734792
2019-06-03 01:00:00 UTC,18877991.18,10795549.65,8668.1675
2019-06-03 02:00:00 UTC,19291427.19,10413496.37,8686.399167
2019-06-03 03:00:00 UTC,20541851.25,10801954.26,8687.97625
2019-06-03 04:00:00 UTC,21150074.18,10884597.46,8675.725417
2019-06-03 05:00:00 UTC,20448000.79,11030913.05,8642.044375
2019-06-03 06:00:00 UTC,19387995.38,10778517.95,8558.9775
2019-06-03 07:00:00 UTC,17889446.61,10351141.62,8461.640417
2019-06-03 08:00:00 UTC,18466519.86,10166243.68,8494.09913
2019-06-03 09:00:00 UTC,18249145.89,10322970.45,8460.455833
2019-06-03 10:00:00 UTC,18710733.26,10301297.63,8500.77625
2019-06-03 11:00:00 UTC,19345581.36,10654746.32,8511.183333
2019-06-03 12:00:00 UTC,20235201.31,10516137.66,8524.799792
2019-06-03 13:00:00 UTC,19981402.64,10433815.83,8499.271667
2019-06-03 14:00:00 UTC,20210353.06,11237299.64,8451.732708
2019-06-03 15:00:00 UTC,19643856.33,11266263.47,8429.015208
2019-06-03 16:00:00 UTC,21777184.46,10931282.55,8505.189792
2019-06-03 17:00:00 UTC,22805911.39,11718566.05,8489.632083
2019-06-03 18:00:00 UTC,23439984.34,11933451.43,8521.198478
2019-06-03 19:00:00 UTC,23772164.63,11847880.22,8552.777708
2019-06-03 20:00:00 UTC,23735845.02,11955593.88,8547.163542
2019-06-03 21:00:00 UTC,22943045.98,11845646.56,8506.399375
2019-06-03 22:00:00 UTC,22470863.74,12274992.26,8454.55625
2019-06-03 23:00:00 UTC,15257416.46,11628527.99,8250.015417
2019-06-04 00:00:00 UTC,4934344.694,11848336.29,7923.427083
2019-06-04 01:00:00 UTC,5681844.279,12633515.2,7986.465417
2019-06-04 02:00:00 UTC,6352812.198,13233236.81,7983.619583
2019-06-04 03:00:00 UTC,6976559.137,13835090.83,7978.237083
2019-06-04 04:00:00 UTC,5947459.822,14735138,7928.685217
